post_date,verified,resultid,submittingmemberid,submittingplayerid,winner1id,win1_utr,win1_verutr,loser1id,los1_utr,los1_verutr,score,gamesplayed,finalized
2019-04-25,myutr,15598179,59804,233519,233519,,8.47,1360102,7.0,0.0,"6-0, 6-0, 6-0",18,1
2019-04-23,myutr,15530367,24696,98334,98334,10.61,10.65,85744,10.84,10.94,"6-2, 6-4",18,1
2019-04-23,myutr,15537160,151653,886815,886815,7.0,4.21,886839,,5.65,"6-4, 6-2",18,0
2019-04-23,myutr,15537707,115236,743374,743374,8.0,6.63,645575,,5.4,"6-3, 6-3",18,1
2019-04-24,myutr,15563657,129717,226481,118091,,8.57,226481,8.0,6.85,"6-2, 3-6, 1-0",18,1
2019-04-23,myutr,15537161,77093,797599,138207,,7.59,797599,,6.44,"6-4, 6-2",18,1
2019-04-22,myutr,15530348,39107,83792,83792,11.05,10.99,99509,11.05,11.1,"6-4, 6-2",18,1
2019-04-24,myutr,15585738,138017,396527,362351,,11.66,396527,11.0,10.45,"6-3, 6-3",18,1
2019-04-23,myutr,15535061,63179,117561,117561,,9.08,412938,,9.28,"4-6, 6-1, 1-0",18,1
2019-04-23,myutr,15537752,135789,996344,996344,8.0,8.19,1233325,8.0,0.0,"6-3, 6-3",18,1
2019-04-22,myutr,15530089,120172,270738,270738,5.05,4.98,908908,5.14,5.22,"6-4, 6-2",18,1
2019-04-25,myutr,15585846,69583,129067,129067,,7.34,110717,,0.0,"6-3, 6-3",18,1
2019-04-23,myutr,15534728,74976,254694,254694,,4.55,229784,,6.48,"7-5, 6-0",18,1
2019-04-23,myutr,15533249,174878,996772,996772,9.04,9.03,777445,8.35,8.39,"6-3, 6-3",18,1
2019-04-23,myutr,15535172,96795,218665,218665,,6.65,270293,,6.79,"6-4, 4-4",18,1
2019-04-24,myutr,15577604,125350,170859,170859,10.0,8.75,215535,,8.76,"6-4, 6-2",18,1
2019-04-23,myutr,15530407,22068,67851,67851,8.93,8.89,168986,8.66,8.68,"6-3, 6-3",18,1
2019-04-23,myutr,15537753,135789,996344,996344,8.0,8.19,996348,7.99,8.26,"6-3, 3-6",18,1
2019-04-22,myutr,15530204,58838,126336,126336,8.89,8.94,233765,8.83,8.9,"6-4, 6-2",18,1
2019-04-23,myutr,15537171,38138,215564,215564,,10.34,371054,,9.73,"6-3, 6-3",18,1
2019-04-22,myutr,15530305,37847,1301834,1301834,10.1,10.05,133140,9.72,9.75,"6-3, 6-3",18,1
2019-04-22,myutr,15530101,124372,221947,221947,6.05,5.86,291629,4.69,4.67,"6-4, 6-2",18,1
2019-04-24,myutr,15568366,21138,192338,192338,6.47,0.0,305447,10.31,10.6,"6-3, 6-3",18,1
2019-04-22,myutr,15529886,87731,218629,1034783,10.49,10.5,218629,9.38,9.35,"6-2, 6-4",18,1
2019-04-25,myutr,15598181,59804,233519,233519,,8.47,149357,,9.01,"6-0, 6-0, 6-0",18,1
2019-04-24,myutr,15585800,178707,1310020,194585,,4.79,1310020,6.0,0.0,"6-4, 6-2",18,1
2019-04-23,myutr,15537611,158244,276474,208910,,11.81,276474,11.0,10.15,"6-3, 6-3",18,0
2019-04-22,myutr,15530226,28196,136474,136474,6.42,6.65,204014,6.49,6.55,"6-3, 6-3",18,1
2019-04-23,myutr,15533134,91277,1008973,1008973,9.71,9.66,246687,11.49,11.74,"3-6, 5-4",18,1
